Country,Year,Manufacturer,EV_Sales_(USD),Charging_Stations,EV_Market_Share(%),Total_Vehicles_Sold,EV_Type,GDP_per_Capita,Govt_Incentives
Germany,2016,Tesla,"$29,805 ",,5.54,76980,PHEV,8805,yes
Germany,2023,Hyundai,"$5,737 ",569,6.3,63293,HEV,4343,yes
China,2022,BYD,"$14,000 ",4080,20.06,31964,BEV,60638,YES
USA,2019,Chevrolet,"$8,630 ",3157,17.42,78672,BEV,14284,yes
USA,2024,Chevrolet,"$7,753 ",2754,,102221,PHEV,62389,yes
USA,2015,BMW,"$9,935 ",3128,2.18,106916,PHEV,79781,YES
Germany,2021,BYD,"$29,624 ",2969,3.84,65871,PHEV,63752,no
China,2020,Chevrolet,"$37,720 ",2080,2.39,118325,HEV,69385,no
Netherlands,2015,Tesla,"$40,658 ",3740,15.59,101818,PHEV,42975,No
France,2020,Volkswagen,,1358,20.83,,HEV,28663,No
Germany,2015,Hyundai,"$39,146 ",,28.38,89261,BEV,61890,Yes
Norway,2023,Ford,"$1,351 ",1697,20.64,14289,BEV,36195,YES
USA,2015,Renault,"$26,644 ",4010,24.52,121254,PHEV,39304,yes
India,2024,Ford,"$46,747 ",3923,6.99,68511,HEV,39494,no
Canada,2018,Kia,"$3,873 ",3979,2.13,32223,PHEV,26351,yes
Norway,2017,Renault,"$23,632 ",,25.5,99985,BEV,77797,No
Canada,2023,Hyundai,$917 ,124,9.17,5184,HEV,39513,Yes
Norway,2016,Ford,"$26,592 ",3156,26.45,61088,HEV,61692,yes
France,2021,Chevrolet,"$24,048 ",2818,,69473,HEV,39756,yes
India,2020,Hyundai,"$19,388 ",2977,24.4,103430,BEV,18955,Yes
UK,2021,Renault,"$38,341 ",2153,10.88,46698,PHEV,33479,Yes
USA,2016,BMW,"$45,311 ",3450,20.72,89597,PHEV,69450,Yes
Netherlands,2022,Chevrolet,"$21,852 ",3962,15.65,69811,HEV,1728,No
India,2020,BYD,"$1,198 ",405,28.8,26664,BEV,37939,YES
China,2021,Tesla,,4370,10.26,,PHEV,52934,no
Norway,2017,Ford,"$32,807 ",4956,,94728,PHEV,6486,YES
India,2020,Nissan,"$8,835 ",,14,98947,PHEV,12130,yes
Germany,2018,BYD,"$22,472 ",3646,23.96,50664,BEV,2062,
Japan,2024,Ford,"$19,040 ",2992,29.88,29388,PHEV,24714,yes
Japan,2019,BMW,"$38,602 ",742,11.18,46403,HEV,73267,
China,2024,Ford,"$48,636 ",963,18.93,126688,HEV,45261,
France,2020,Ford,"$2,042 ",1201,3.11,96147,PHEV,20065,Yes
France,2022,Renault,"$18,424 ",3246,7.76,47719,HEV,14807,yes
Norway,2016,Hyundai,"$42,848 ",1866,26.53,135640,BEV,58854,YES
Netherlands,2017,Hyundai,"$40,762 ",4322,18.16,77671,PHEV,20870,yes
Norway,2017,Chevrolet,"$35,078 ",2933,17.19,61367,BEV,56129,No
France,2018,Volkswagen,"$28,678 ",4144,13.6,115866,BEV,5748,YES
Netherlands,2017,Ford,"$21,733 ",1253,17.57,53088,PHEV,56771,no
France,2022,Ford,"$13,616 ",904,19.83,66840,PHEV,40298,no
Netherlands,2022,Renault,"$43,456 ",4295,12.61,72472,PHEV,24960,YES
Japan,2020,Chevrolet,"$34,091 ",938,7.48,102732,BEV,37395,no
UK,2016,Nissan,"$46,240 ",1862,10.36,67799,PHEV,62642,no
USA,2020,BYD,"$11,503 ",1260,21.17,84229,HEV,18640,No
Netherlands,2015,BYD,"$38,913 ",3496,29.88,108779,BEV,20087,Yes
China,2015,Nissan,"$41,930 ",1363,,53905,PHEV,12023,YES
France,2017,BMW,,367,14.21,,PHEV,67203,YES
Canada,2023,Chevrolet,"$30,203 ",1155,6.46,92732,HEV,32921,yes
China,2020,Nissan,"$33,807 ",2789,11.45,39642,HEV,21159,yes
Germany,2022,Renault,"$39,310 ",2518,20.86,123154,HEV,28532,
USA,2020,BMW,"$34,849 ",3334,28.28,92027,HEV,,yes
Norway,2019,BYD,"$49,907 ",4814,18.79,116452,PHEV,59141,No
Canada,2019,BYD,"$24,293 ",4982,5.78,26308,HEV,62813,Yes
India,2022,Ford,"$28,212 ",2203,29.63,91504,HEV,,yes
USA,2016,Kia,"$24,333 ",4168,12.4,32303,PHEV,,no
Norway,2020,Kia,,4794,25.31,,HEV,19017,Yes
UK,2020,BMW,"$10,844 ",,13.03,12228,BEV,1404,Yes
Japan,2018,Ford,"$41,443 ",4623,21.06,102543,PHEV,10860,
China,2020,Hyundai,"$39,257 ",1470,17.97,109429,HEV,11916,No
China,2018,Volkswagen,"$5,309 ",,25.64,19765,BEV,57397,YES
China,2019,Kia,"$39,265 ",2058,28.67,57365,HEV,58091,
Japan,2022,Chevrolet,"$22,449 ",4554,20.48,115642,PHEV,37187,No
USA,2016,Chevrolet,"$47,698 ",1584,20.48,106715,BEV,62877,YES
India,2018,Chevrolet,"$43,625 ",780,16.08,81756,PHEV,43944,YES
Netherlands,2020,Ford,"$8,927 ",,,34212,BEV,38626,No
USA,2022,Chevrolet,"$43,308 ",4729,14.92,59562,PHEV,45238,no
Japan,2021,Renault,"$1,752 ",3991,21.42,56434,PHEV,60494,yes
Norway,2023,Chevrolet,"$16,281 ",4869,29.43,72674,BEV,74553,
Netherlands,2021,Nissan,"$7,441 ",1368,13.69,70327,BEV,76745,YES
Japan,2015,BYD,"$18,215 ",4354,15.91,116454,PHEV,43318,
Japan,2019,Chevrolet,"$5,137 ",4864,16.18,49225,BEV,40811,yes
Canada,2018,Hyundai,"$49,789 ",3482,15.27,70752,HEV,56123,YES
China,2021,Hyundai,"$37,432 ",2603,19,44001,PHEV,70836,Yes
Norway,2022,Chevrolet,"$39,537 ",3828,17.81,85539,PHEV,7254,no
India,2024,Hyundai,"$17,644 ",3455,21.23,76887,HEV,42240,yes
UK,2024,BMW,"$18,771 ",3276,15.94,95468,HEV,29732,YES
Netherlands,2022,Volkswagen,"$11,814 ",4709,11.08,35875,HEV,40749,Yes
France,2015,Renault,"$39,644 ",533,6.98,92389,PHEV,24624,no
USA,2017,Chevrolet,"$23,821 ",2306,14.95,68042,BEV,11478,no
Norway,2019,Ford,"$45,662 ",2888,11.94,51094,PHEV,65291,yes
Japan,2020,Renault,"$14,068 ",2065,22.7,65496,PHEV,1302,YES
Norway,2017,BMW,"$17,522 ",65,15.05,47221,BEV,74686,no
India,2023,BMW,"$2,625 ",3297,21.89,8246,BEV,16034,No
UK,2020,Renault,"$46,891 ",4988,21.69,65921,BEV,56658,no
India,2020,BMW,"$39,138 ",1541,4.11,129007,HEV,35674,Yes
Germany,2015,Kia,"$36,354 ",4590,6.29,38416,PHEV,51448,
Norway,2019,Renault,"$30,426 ",135,4.47,35022,HEV,7168,No
Japan,2019,Volkswagen,"$43,063 ",76,19.82,70797,BEV,7371,no
China,2021,BYD,"$26,569 ",4728,22.62,108833,BEV,,no
India,2024,Ford,"$23,775 ",2482,10.79,109434,BEV,55553,No
India,2016,BMW,"$48,947 ",1771,8.09,126037,PHEV,18260,YES
Japan,2023,Nissan,"$47,545 ",3822,28.08,75830,BEV,2605,yes
USA,2023,Chevrolet,"$6,122 ",2573,25.67,83247,BEV,14918,No
Canada,2022,Tesla,"$20,619 ",2880,25.43,46437,PHEV,5324,yes
USA,2018,Ford,,2605,,,BEV,10111,Yes
India,2021,Volkswagen,"$38,610 ",15,12.54,119189,BEV,29746,no
UK,2021,BYD,"$22,850 ",655,29.28,108321,HEV,14234,YES
France,2015,Tesla,"$38,828 ",4299,17.15,119067,PHEV,47514,no
China,2015,Kia,"$23,200 ",1151,,88523,HEV,59067,Yes
USA,2018,Tesla,"$49,876 ",4637,8.03,118460,PHEV,79477,yes
Netherlands,2020,Ford,"$45,875 ",1583,17.86,67493,HEV,33254,YES
USA,2023,Ford,"$40,256 ",2036,18.22,100639,HEV,66545,no
UK,2021,Volkswagen,"$17,144 ",1683,29.71,23431,PHEV,35387,No
Canada,2021,Kia,"$9,012 ",1352,20.76,29228,HEV,27614,
Canada,2018,Tesla,"$36,758 ",3687,,79836,PHEV,13219,YES
Japan,2018,Hyundai,$735 ,,12.85,69179,PHEV,9567,no
France,2021,Nissan,"$36,798 ",2645,12,43213,HEV,37159,yes
China,2022,Hyundai,"$44,425 ",3653,25.41,53432,BEV,42832,yes
UK,2019,Volkswagen,"$31,023 ",1324,5.76,51305,BEV,24930,yes
Japan,2022,Volkswagen,$577 ,2631,11.41,15637,HEV,44303,YES
Canada,2015,BYD,,,14.11,,HEV,30287,
Japan,2020,Tesla,"$28,673 ",3772,19.1,101193,HEV,19574,
USA,2023,BMW,"$9,684 ",,7.73,44700,HEV,12246,No
Germany,2018,Nissan,"$46,058 ",4043,16.76,83513,HEV,5018,no
France,2019,BYD Inc,"$11,802 ",1980,,53959,HEV,55917,no
Germany,2016,Renault,"$27,702 ",1212,10.71,116189,PHEV,57819,Yes
Netherlands,2022,BMW,"$15,874 ",2045,22.5,17796,BEV,52356,No
France,2024,Volkswagen,"$11,289 ",1130,21.5,44443,HEV,3336,no
UK,2017,BYD,"$38,641 ",2253,,58670,HEV,60201,
Netherlands,2021,Hyundai,"$32,765 ",4622,26.43,77637,BEV,47197,no
UK,2016,Ford,"$24,210 ",4920,,97117,PHEV,72895,No
China,2016,Tesla,"$41,131 ",3238,16.66,56513,PHEV,4756,YES
USA,2016,Hyundai,"$21,109 ",104,18.35,97792,HEV,72315,no
Canada,2018,Ford,"$12,798 ",3335,27.35,90123,HEV,13999,Yes
India,2022,BYD Inc,"$1,314 ",355,28.47,4757,PHEV,76993,Yes
UK,2020,Ford,"$10,880 ",3015,3.92,27208,PHEV,57942,YES
France,2022,Hyundai,"$26,715 ",837,18.2,67630,BEV,38219,YES
India,2021,Hyundai,"$15,843 ",2945,1.67,16969,BEV,53329,Yes
France,2022,BMW,"$28,132 ",613,11.86,84308,HEV,45327,yes
UK,2021,BYD,"$3,868 ",3807,27.41,39428,PHEV,77589,no
Norway,2023,Ford,"$22,616 ",3486,5.8,71139,HEV,20256,YES
UK,2020,Kia,,3082,26.23,,BEV,38430,YES
Japan,2024,Chevrolet,"$39,782 ",,18.15,109026,BEV,12694,Yes
Norway,2019,Hyundai,"$10,024 ",211,24.28,108969,PHEV,14224,no
China,2015,Hyundai,"$41,238 ",584,13.02,115747,HEV,9577,YES
Japan,2018,Kia,"$8,570 ",3291,14.94,45938,HEV,,No
USA,2018,Nissan,"$7,283 ",964,,78790,PHEV,68526,No
China,2019,Renault,"$5,799 ",4815,1.98,53039,HEV,38148,yes
India,2024,Ford,"$29,234 ",4767,7.38,46475,BEV,28696,No
Germany,2024,Kia,"$5,444 ",3442,5.31,59297,PHEV,25917,YES
Germany,2020,Renault,"$31,695 ",1734,,95518,HEV,21806,YES
Japan,2021,Renault,"$10,484 ",1769,2.95,103858,PHEV,3482,
Japan,2024,Renault,"$24,942 ",961,27.04,28021,HEV,3717,YES
Japan,2023,Nissan,"$28,452 ",4534,11.95,102299,PHEV,19449,no
China,2022,BYD,"$34,036 ",3067,16.21,73036,BEV,27737,no
France,2018,Tesla,"$11,985 ",956,5.5,68153,HEV,53487,yes
Canada,2016,Volkswagen,"$12,842 ",4905,8.9,89471,PHEV,53603,No
France,2021,Renault,"$47,690 ",64,5.53,134072,BEV,77534,Yes
Norway,2022,Renault,"$47,563 ",2500,15.66,122618,PHEV,57373,yes
UK,2018,Kia,"$31,980 ",3320,17.51,72966,BEV,25160,no
USA,2015,BYD,"$20,559 ",3064,21.9,95065,HEV,35911,Yes
Germany,2019,Volkswagen,"$22,091 ",1321,,83626,PHEV,13175,Yes
france,2021,BYD,"$41,624 ",4287,,129549,HEV,67358,no
China,2021,Volkswagen,"$17,827 ",4435,3.48,21025,PHEV,61500,yes
Germany,2017,BYD,"$20,579 ",3462,26.42,72039,HEV,32419,No
Japan,2018,BYD,"$9,205 ",1930,24.71,98160,BEV,16358,No
France,2023,Ford,"$34,677 ",4812,18.12,50273,HEV,,yes
France,2021,BMW,"$34,072 ",1289,17.01,97588,HEV,8083,no
USA,2020,Hyundai,"$44,361 ",1397,5.06,93646,BEV,20063,no
USA,2024,BYD,"$2,606 ",,,93699,BEV,38599,YES
UK,2016,Chevrolet,"$29,029 ",3196,15.86,108373,HEV,36367,No
China,2019,Kia,"$37,301 ",246,12.67,62053,HEV,56029,YES
Germany,2016,Tesla,"$18,185 ",,25.21,75146,HEV,77908,yes
India,2016,Tesla,"$9,496 ",84,,66629,PHEV,62268,Yes
USA,2022,Ford Inc,"$27,165 ",50,8.95,68117,BEV,23180,No
USA,2018,Tesla,"$32,396 ",4693,6.99,74205,PHEV,17725,
UK,2018,Hyundai,"$41,260 ",655,22.23,138783,BEV,47828,YES
France,2023,Tesla,"$48,424 ",464,17.63,61088,PHEV,36737,YES
India,2024,BMW,"$36,296 ",4807,16.05,123441,HEV,39709,No
France,2017,Tesla,,1396,6.35,,PHEV,22172,
UK,2019,BYD,"$12,055 ",4899,2.98,66057,BEV,73355,yes
Canada,2021,Hyundai,"$26,212 ",,,51974,PHEV,12046,Yes
Germany,2018,BMW,"$31,963 ",1260,28.53,86265,PHEV,24150,no
France,2017,Ford,"$3,211 ",4863,4.92,93610,BEV,22792,No
China,2016,Volkswagen,"$40,983 ",760,8.61,109281,HEV,32987,No
Norway,2021,Chevrolet,"$16,350 ",3930,15.39,62770,BEV,,no
China,2022,BYD,"$39,390 ",,10.69,73311,BEV,2524,no
China,2024,Ford,"$35,388 ",,3.18,74292,PHEV,55912,No
Norway,2016,Tesla,"$34,508 ",70,20.96,90845,PHEV,14350,no
France,2017,BMW,"$24,854 ",4236,3.26,111977,PHEV,76186,no
USA,2016,BMW,"$20,433 ",4207,18.12,72907,PHEV,70626,YES
Norway,2022,Chevrolet,"$7,460 ",3014,23.91,44868,PHEV,58134,
India,2015,Renault,"$20,991 ",1351,28.79,22329,HEV,72431,No
USA,2018,Ford,"$12,754 ",2718,23.01,68510,PHEV,68957,yes
Norway,2024,Ford,"$40,387 ",719,29.44,97148,BEV,63552,yes
USA,2018,Ford,,3736,21.1,,BEV,28935,yes
Norway,2015,Tesla,"$38,141 ",4816,29.98,126974,BEV,57276,Yes
UK,2024,BYD,"$20,041 ",4355,10.07,58239,PHEV,9820,no
Canada,2024,Hyundai,"$24,570 ",4242,6.59,99113,BEV,42786,No
Netherlands,2021,Ford,"$29,898 ",1510,14.75,85135,BEV,52571,Yes
China,2018,Hyundai,"$26,010 ",3052,,64275,PHEV,18850,yes
France,2016,Hyundai,"$1,114 ",1192,,54489,PHEV,36435,No
UK,2020,Chevrolet,"$31,407 ",140,21.19,35390,PHEV,21662,No
USA,2019,Tesla,"$24,010 ",4469,17.6,119081,PHEV,7640,Yes
China,2020,Ford,"$45,047 ",930,22.4,140270,HEV,75859,no
France,2018,Kia,"$15,729 ",3531,1.71,69122,HEV,67081,Yes
Japan,2017,Tesla,,,1.62,,PHEV,30430,Yes
India,2016,Renault,"$10,496 ",3222,12.13,25415,BEV,70346,
UK,2020,Volkswagen,,823,11.17,,PHEV,30629,No
China,2020,Chevrolet,"$8,936 ",4853,19.2,95367,PHEV,59606,no
Japan,2024,Nissan,"$11,116 ",4371,3.66,36690,PHEV,,YES
Netherlands,2017,BYD,"$3,930 ",4445,22.39,37663,PHEV,3050,no
France,2017,Ford,"$44,960 ",1175,9.61,80761,PHEV,56619,YES
Japan,2015,Ford,"$33,413 ",4398,2.22,125229,HEV,36400,Yes
China,2019,Chevrolet,"$4,994 ",973,7.33,48995,PHEV,68364,No
Netherlands,2021,Tesla,"$45,528 ",948,18.07,47334,PHEV,57638,yes
India,2019,BMW,"$41,470 ",1878,29.69,66732,PHEV,63211,no
UK,2024,BYD,"$49,488 ",894,25.09,84645,BEV,78129,yes
Germany,2016,BMW,"$40,542 ",4331,12.14,124398,HEV,28376,
USA,2018,Tesla,"$44,013 ",3855,24.22,118794,PHEV,73750,no
USA,2018,Hyundai,"$1,226 ",2746,16.03,64709,PHEV,19297,No
China,2019,Tesla,,1606,8.55,,PHEV,26425,No
UK,2023,Tesla,,2119,29.89,,HEV,25578,
India,2019,Kia,"$29,331 ",4079,19.07,63991,PHEV,76758,YES
Canada,2020,Chevrolet,"$37,943 ",1943,25.94,56617,HEV,24874,yes
India,2019,Nissan,"$44,142 ",997,,142962,BEV,66160,no
USA,2022,BMW,"$18,102 ",1365,2.03,65644,PHEV,43520,No
Canada,2022,Hyundai,"$16,085 ",993,8.33,86754,HEV,22754,no
Canada,2017,Hyundai,"$4,472 ",923,3.35,15375,HEV,4020,yes
Japan,2016,Renault,"$42,255 ",4046,29.75,52771,BEV,3396,YES
Canada,2019,Kia,"$19,046 ",2755,17.57,31349,BEV,31561,no
Germany,2016,Renault,"$6,683 ",3940,26.07,93914,PHEV,,No
China,2017,Ford,"$7,814 ",2393,20.1,105640,PHEV,66082,
USA,2020,Chevrolet,,,5.65,,BEV,34130,yes
Netherlands,2019,Volkswagen,"$32,588 ",1726,20.72,119794,BEV,70274,yes
Germany,2020,Renault,"$2,969 ",4805,5.6,52843,PHEV,50708,
France,2015,Ford,"$9,517 ",2818,1.85,58155,HEV,,yes
Netherlands,2015,BYD,"$13,213 ",,4.74,37103,HEV,78236,yes
USA,2019,Kia,"$37,009 ",1584,5.66,56796,HEV,49845,Yes
India,2016,BYD,"$27,088 ",1557,1.19,115351,PHEV,61461,no
Japan,2018,Renault,"$10,382 ",,,78054,PHEV,35832,no
Canada,2016,BYD,"$32,466 ",4805,1.26,97318,PHEV,2007,
India,2020,Hyundai,"$5,945 ",,9.22,36202,PHEV,,No
Netherlands,2019,BYD,"$22,236 ",1257,25.36,24671,PHEV,27660,no
UK,2017,BYD,"$5,584 ",,23.88,79179,BEV,46539,YES
Japan,2017,Ford,"$7,991 ",4836,5.82,89386,PHEV,64888,No
UK,2022,Tesla,"$8,573 ",895,11.03,30526,BEV,77919,YES
Norway,2023,Chevrolet,"$49,646 ",,25.72,74467,HEV,38567,no
Netherlands,2015,Tesla,"$25,360 ",4821,22.74,113626,HEV,22427,no
India,2015,Chevrolet,"$35,696 ",2517,1.71,80760,BEV,8813,YES
Japan,2020,BYD,"$32,098 ",,15.17,126204,PHEV,,Yes
India,2023,Chevrolet,"$27,582 ",4675,1.03,40327,BEV,27029,no
Netherlands,2022,Hyundai,"$13,525 ",,29.92,28813,HEV,,yes
China,2015,Volkswagen,"$24,150 ",48,16.28,101082,PHEV,18482,No
France,2022,Nissan,"$23,911 ",1833,,85456,HEV,79797,Yes
Netherlands,2023,Volkswagen,,3165,19.98,,PHEV,23042,YES
Netherlands,2017,Volkswagen,"$44,913 ",3521,13.54,99181,BEV,40214,YES
India,2021,Hyundai,"$16,835 ",4974,19.52,66736,PHEV,64416,yes
Norway,2023,Nissan,"$32,696 ",4675,26.93,53678,BEV,77961,No
Norway,2016,Hyundai,"$2,480 ",1865,26.18,86191,HEV,27385,YES
USA,2023,BYD,"$38,658 ",,,62677,BEV,19639,yes
USA,2019,Nissan,,3620,29.08,,HEV,40341,No
France,2023,BMW,"$6,276 ",3686,23.52,81594,HEV,31707,yes
India,2018,Ford,"$39,610 ",4454,4.81,46265,PHEV,45859,YES
France,2019,Renault,"$15,751 ",,24.1,85511,BEV,48837,Yes
Germany,2017,Ford,,2263,18.35,,PHEV,,YES
Netherlands,2019,Renault,"$29,041 ",,20.88,64572,HEV,9712,YES
UK,2023,Chevrolet,"$39,065 ",1026,5.66,45174,PHEV,50268,No
Japan,2023,Tesla,"$35,701 ",593,10,122409,BEV,61112,Yes
China,2021,BMW,"$37,435 ",,14.47,65024,HEV,31015,YES
France,2020,Chevrolet,"$29,509 ",1399,29.27,56652,BEV,7154,
France,2021,BYD,"$22,304 ",738,25.94,43885,BEV,53648,Yes
Japan,2020,Tesla,"$30,587 ",788,14.93,77754,BEV,76304,yes
UK,2021,Hyundai,"$43,908 ",2946,,97177,BEV,39559,
China,2020,Chevrolet,"$49,090 ",601,14.99,146437,BEV,49787,no
Japan,2017,Chevrolet,"$35,988 ",723,23.5,98669,BEV,64483,No
Norway,2015,Chevrolet,"$49,653 ",,16.49,95657,HEV,57985,Yes
Norway,2018,Kia,"$43,701 ",99,20.99,126606,HEV,69577,Yes
USA,2023,Renault,$605 ,896,,26608,HEV,63768,no
France,2016,BMW,"$6,590 ",326,21.49,9515,HEV,27015,YES
Norway,2021,Volkswagen,"$33,820 ",725,26.26,61109,BEV,4389,yes
Japan,2022,Renault,"$26,183 ",4216,24.63,53813,PHEV,47163,
Canada,2018,BMW,"$33,475 ",,,100910,HEV,,Yes
Netherlands,2018,Tesla,"$12,153 ",3395,23.73,46815,HEV,57446,no
India,2017,Renault,"$21,788 ",4979,13.72,38101,HEV,73715,YES
Germany,2022,Volkswagen,"$10,826 ",3605,5.63,90974,BEV,27745,yes
France,2016,BMW,"$32,390 ",3648,14.64,103706,PHEV,29380,no
Norway,2016,Chevrolet,"$45,162 ",2366,20.1,136061,HEV,21049,no
China,2023,BMW Inc,"$10,681 ",671,10.64,14601,PHEV,61315,no
Germany,2022,Volkswagen,"$14,525 ",764,20.73,31834,BEV,56230,Yes
Norway,2016,Renault,"$46,786 ",362,25.37,120327,HEV,60321,
Germany,2017,Chevrolet,"$1,456 ",2081,13.34,80795,BEV,26963,no
