Country,Year,Manufacturer,EV_Sales_(USD),Charging_Stations,EV_Market_Share(%),Total_Vehicles_Sold,EV_Type,GDP_per_Capita,Govt_Incentives
Japan,2019,Volkswagen,43063.0,76.0,19.82,70797.0,BEV,7371.0,NO
India,2024,Ford,23775.0,2482.0,10.79,109434.0,BEV,55553.0,NO
India,2016,BMW,48947.0,1771.0,8.09,126037.0,PHEV,18260.0,YES
Japan,2023,Nissan,47545.0,3822.0,28.08,75830.0,BEV,2605.0,YES
Usa,2023,Chevrolet,6122.0,2573.0,25.67,83247.0,BEV,14918.0,NO
Canada,2022,Tesla,20619.0,2880.0,25.43,46437.0,PHEV,5324.0,YES
India,2021,Volkswagen,38610.0,15.0,12.54,119189.0,BEV,29746.0,NO
Uk,2021,BYD,22850.0,655.0,29.28,108321.0,HEV,14234.0,YES
France,2015,Tesla,38828.0,4299.0,17.15,119067.0,PHEV,47514.0,NO
Usa,2018,Tesla,49876.0,4637.0,8.03,118460.0,PHEV,79477.0,YES
Netherlands,2020,Ford,45875.0,1583.0,17.86,67493.0,HEV,33254.0,YES
Usa,2023,Ford,40256.0,2036.0,18.22,100639.0,HEV,66545.0,NO
Uk,2021,Volkswagen,17144.0,1683.0,29.71,23431.0,PHEV,35387.0,NO
Canada,2021,Kia,9012.0,1352.0,20.76,29228.0,HEV,27614.0,NO
France,2021,Nissan,36798.0,2645.0,12.0,43213.0,HEV,37159.0,YES
China,2022,Hyundai,44425.0,3653.0,25.41,53432.0,BEV,42832.0,YES
Uk,2019,Volkswagen,31023.0,1324.0,5.76,51305.0,BEV,24930.0,YES
Japan,2022,Volkswagen,577.0,2631.0,11.41,15637.0,HEV,44303.0,YES
Japan,2020,Tesla,28673.0,3772.0,19.1,101193.0,HEV,19574.0,NO
Germany,2018,Nissan,46058.0,4043.0,16.76,83513.0,HEV,5018.0,NO
Germany,2016,Renault,27702.0,1212.0,10.71,116189.0,PHEV,57819.0,YES
Netherlands,2022,BMW,15874.0,2045.0,22.5,17796.0,BEV,52356.0,NO
France,2024,Volkswagen,11289.0,1130.0,21.5,44443.0,HEV,3336.0,NO
Netherlands,2021,Hyundai,32765.0,4622.0,26.43,77637.0,BEV,47197.0,NO
China,2016,Tesla,41131.0,3238.0,16.66,56513.0,PHEV,4756.0,YES
Usa,2016,Hyundai,21109.0,104.0,18.35,97792.0,HEV,72315.0,NO
Canada,2018,Ford,12798.0,3335.0,27.35,90123.0,HEV,13999.0,YES
India,2022,BYD Inc,1314.0,355.0,28.47,4757.0,PHEV,76993.0,YES
Uk,2020,Ford,10880.0,3015.0,3.92,27208.0,PHEV,57942.0,YES
France,2022,Hyundai,26715.0,837.0,18.2,67630.0,BEV,38219.0,YES
India,2021,Hyundai,15843.0,2945.0,1.67,16969.0,BEV,53329.0,YES
France,2022,BMW,28132.0,613.0,11.86,84308.0,HEV,45327.0,YES
Uk,2021,BYD,3868.0,3807.0,27.41,39428.0,PHEV,77589.0,NO
Norway,2023,Ford,22616.0,3486.0,5.8,71139.0,HEV,20256.0,YES
Uk,2020,Kia,25153.790504451037,3082.0,26.23,75377.24470820969,BEV,38430.0,YES
Norway,2019,Hyundai,10024.0,211.0,24.28,108969.0,PHEV,14224.0,NO
China,2015,Hyundai,41238.0,584.0,13.02,115747.0,HEV,9577.0,YES
China,2019,Renault,5799.0,4815.0,1.98,53039.0,HEV,38148.0,YES
India,2024,Ford,29234.0,4767.0,7.38,46475.0,BEV,28696.0,NO
Germany,2024,Kia,5444.0,3442.0,5.31,59297.0,PHEV,25917.0,YES
Japan,2021,Renault,10484.0,1769.0,2.95,103858.0,PHEV,3482.0,NO
Japan,2024,Renault,24942.0,961.0,27.04,28021.0,HEV,3717.0,YES
Japan,2023,Nissan,28452.0,4534.0,11.95,102299.0,PHEV,19449.0,NO
China,2022,BYD,34036.0,3067.0,16.21,73036.0,BEV,27737.0,NO
France,2018,Tesla,11985.0,956.0,5.5,68153.0,HEV,53487.0,YES
Canada,2016,Volkswagen,12842.0,4905.0,8.9,89471.0,PHEV,53603.0,NO
France,2021,Renault,47690.0,64.0,5.53,134072.0,BEV,77534.0,YES
Norway,2022,Renault,47563.0,2500.0,15.66,122618.0,PHEV,57373.0,YES
Uk,2018,Kia,31980.0,3320.0,17.51,72966.0,BEV,25160.0,NO
Usa,2015,BYD,20559.0,3064.0,21.9,95065.0,HEV,35911.0,YES
China,2021,Volkswagen,17827.0,4435.0,3.48,21025.0,PHEV,61500.0,YES
Germany,2017,BYD,20579.0,3462.0,26.42,72039.0,HEV,32419.0,NO
Japan,2018,BYD,9205.0,1930.0,24.71,98160.0,BEV,16358.0,NO
France,2021,BMW,34072.0,1289.0,17.01,97588.0,HEV,8083.0,NO
Usa,2020,Hyundai,44361.0,1397.0,5.06,93646.0,BEV,20063.0,NO
Uk,2016,Chevrolet,29029.0,3196.0,15.86,108373.0,HEV,36367.0,NO
China,2019,Kia,37301.0,246.0,12.67,62053.0,HEV,56029.0,YES
Usa,2022,Ford Inc,27165.0,50.0,8.95,68117.0,BEV,23180.0,NO
Usa,2018,Tesla,32396.0,4693.0,6.99,74205.0,PHEV,17725.0,NO
Uk,2018,Hyundai,41260.0,655.0,22.23,138783.0,BEV,47828.0,YES
France,2023,Tesla,48424.0,464.0,17.63,61088.0,PHEV,36737.0,YES
India,2024,BMW,36296.0,4807.0,16.05,123441.0,HEV,39709.0,NO
France,2017,Tesla,25153.790504451037,1396.0,6.35,75377.24470820969,PHEV,22172.0,NO
Uk,2019,BYD,12055.0,4899.0,2.98,66057.0,BEV,73355.0,YES
Germany,2018,BMW,31963.0,1260.0,28.53,86265.0,PHEV,24150.0,NO
France,2017,Ford,3211.0,4863.0,4.92,93610.0,BEV,22792.0,NO
China,2016,Volkswagen,40983.0,760.0,8.61,109281.0,HEV,32987.0,NO
Norway,2016,Tesla,34508.0,70.0,20.96,90845.0,PHEV,14350.0,NO
France,2017,BMW,24854.0,4236.0,3.26,111977.0,PHEV,76186.0,NO
Usa,2016,BMW,20433.0,4207.0,18.12,72907.0,PHEV,70626.0,YES
Norway,2022,Chevrolet,7460.0,3014.0,23.91,44868.0,PHEV,58134.0,NO
India,2015,Renault,20991.0,1351.0,28.79,22329.0,HEV,72431.0,NO
Usa,2018,Ford,12754.0,2718.0,23.01,68510.0,PHEV,68957.0,YES
Norway,2024,Ford,40387.0,719.0,29.44,97148.0,BEV,63552.0,YES
Usa,2018,Ford,25153.790504451037,3736.0,21.1,75377.24470820969,BEV,28935.0,YES
Norway,2015,Tesla,38141.0,4816.0,29.98,126974.0,BEV,57276.0,YES
Uk,2024,BYD,20041.0,4355.0,10.07,58239.0,PHEV,9820.0,NO
Canada,2024,Hyundai,24570.0,4242.0,6.59,99113.0,BEV,42786.0,NO
Netherlands,2021,Ford,29898.0,1510.0,14.75,85135.0,BEV,52571.0,YES
Uk,2020,Chevrolet,31407.0,140.0,21.19,35390.0,PHEV,21662.0,NO
Usa,2019,Tesla,24010.0,4469.0,17.6,119081.0,PHEV,7640.0,YES
China,2020,Ford,45047.0,930.0,22.4,140270.0,HEV,75859.0,NO
France,2018,Kia,15729.0,3531.0,1.71,69122.0,HEV,67081.0,YES
India,2016,Renault,10496.0,3222.0,12.13,25415.0,BEV,70346.0,NO
Uk,2020,Volkswagen,25153.790504451037,823.0,11.17,75377.24470820969,PHEV,30629.0,NO
China,2020,Chevrolet,8936.0,4853.0,19.2,95367.0,PHEV,59606.0,NO
Netherlands,2017,BYD,3930.0,4445.0,22.39,37663.0,PHEV,3050.0,NO
France,2017,Ford,44960.0,1175.0,9.61,80761.0,PHEV,56619.0,YES
Japan,2015,Ford,33413.0,4398.0,2.22,125229.0,HEV,36400.0,YES
China,2019,Chevrolet,4994.0,973.0,7.33,48995.0,PHEV,68364.0,NO
Netherlands,2021,Tesla,45528.0,948.0,18.07,47334.0,PHEV,57638.0,YES
India,2019,BMW,41470.0,1878.0,29.69,66732.0,PHEV,63211.0,NO
Uk,2024,BYD,49488.0,894.0,25.09,84645.0,BEV,78129.0,YES
Germany,2016,BMW,40542.0,4331.0,12.14,124398.0,HEV,28376.0,NO
Usa,2018,Tesla,44013.0,3855.0,24.22,118794.0,PHEV,73750.0,NO
Usa,2018,Hyundai,1226.0,2746.0,16.03,64709.0,PHEV,19297.0,NO
China,2019,Tesla,25153.790504451037,1606.0,8.55,75377.24470820969,PHEV,26425.0,NO
Uk,2023,Tesla,25153.790504451037,2119.0,29.89,75377.24470820969,HEV,25578.0,NO
India,2019,Kia,29331.0,4079.0,19.07,63991.0,PHEV,76758.0,YES
Canada,2020,Chevrolet,37943.0,1943.0,25.94,56617.0,HEV,24874.0,YES
Usa,2022,BMW,18102.0,1365.0,2.03,65644.0,PHEV,43520.0,NO
Canada,2022,Hyundai,16085.0,993.0,8.33,86754.0,HEV,22754.0,NO
Canada,2017,Hyundai,4472.0,923.0,3.35,15375.0,HEV,4020.0,YES
Japan,2016,Renault,42255.0,4046.0,29.75,52771.0,BEV,3396.0,YES
Canada,2019,Kia,19046.0,2755.0,17.57,31349.0,BEV,31561.0,NO
China,2017,Ford,7814.0,2393.0,20.1,105640.0,PHEV,66082.0,NO
Netherlands,2019,Volkswagen,32588.0,1726.0,20.72,119794.0,BEV,70274.0,YES
Germany,2020,Renault,2969.0,4805.0,5.6,52843.0,PHEV,50708.0,NO
Usa,2019,Kia,37009.0,1584.0,5.66,56796.0,HEV,49845.0,YES
India,2016,BYD,27088.0,1557.0,1.19,115351.0,PHEV,61461.0,NO
Canada,2016,BYD,32466.0,4805.0,1.26,97318.0,PHEV,2007.0,NO
Netherlands,2019,BYD,22236.0,1257.0,25.36,24671.0,PHEV,27660.0,NO
Japan,2017,Ford,7991.0,4836.0,5.82,89386.0,PHEV,64888.0,NO
Uk,2022,Tesla,8573.0,895.0,11.03,30526.0,BEV,77919.0,YES
Netherlands,2015,Tesla,25360.0,4821.0,22.74,113626.0,HEV,22427.0,NO
India,2015,Chevrolet,35696.0,2517.0,1.71,80760.0,BEV,8813.0,YES
India,2023,Chevrolet,27582.0,4675.0,1.03,40327.0,BEV,27029.0,NO
China,2015,Volkswagen,24150.0,48.0,16.28,101082.0,PHEV,18482.0,NO
Netherlands,2023,Volkswagen,25153.790504451037,3165.0,19.98,75377.24470820969,PHEV,23042.0,YES
Netherlands,2017,Volkswagen,44913.0,3521.0,13.54,99181.0,BEV,40214.0,YES
India,2021,Hyundai,16835.0,4974.0,19.52,66736.0,PHEV,64416.0,YES
Norway,2023,Nissan,32696.0,4675.0,26.93,53678.0,BEV,77961.0,NO
Norway,2016,Hyundai,2480.0,1865.0,26.18,86191.0,HEV,27385.0,YES
Usa,2019,Nissan,25153.790504451037,3620.0,29.08,75377.24470820969,HEV,40341.0,NO
France,2023,BMW,6276.0,3686.0,23.52,81594.0,HEV,31707.0,YES
India,2018,Ford,39610.0,4454.0,4.81,46265.0,PHEV,45859.0,YES
Uk,2023,Chevrolet,39065.0,1026.0,5.66,45174.0,PHEV,50268.0,NO
Japan,2023,Tesla,35701.0,593.0,10.0,122409.0,BEV,61112.0,YES
France,2020,Chevrolet,29509.0,1399.0,29.27,56652.0,BEV,7154.0,NO
France,2021,BYD,22304.0,738.0,25.94,43885.0,BEV,53648.0,YES
Japan,2020,Tesla,30587.0,788.0,14.93,77754.0,BEV,76304.0,YES
China,2020,Chevrolet,49090.0,601.0,14.99,146437.0,BEV,49787.0,NO
Japan,2017,Chevrolet,35988.0,723.0,23.5,98669.0,BEV,64483.0,NO
Norway,2018,Kia,43701.0,99.0,20.99,126606.0,HEV,69577.0,YES
France,2016,BMW,6590.0,326.0,21.49,9515.0,HEV,27015.0,YES
Norway,2021,Volkswagen,33820.0,725.0,26.26,61109.0,BEV,4389.0,YES
Japan,2022,Renault,26183.0,4216.0,24.63,53813.0,PHEV,47163.0,NO
Netherlands,2018,Tesla,12153.0,3395.0,23.73,46815.0,HEV,57446.0,NO
India,2017,Renault,21788.0,4979.0,13.72,38101.0,HEV,73715.0,YES
Germany,2022,Volkswagen,10826.0,3605.0,5.63,90974.0,BEV,27745.0,YES
France,2016,BMW,32390.0,3648.0,14.64,103706.0,PHEV,29380.0,NO
Norway,2016,Chevrolet,45162.0,2366.0,20.1,136061.0,HEV,21049.0,NO
China,2023,BMW Inc,10681.0,671.0,10.64,14601.0,PHEV,61315.0,NO
Germany,2022,Volkswagen,14525.0,764.0,20.73,31834.0,BEV,56230.0,YES
Norway,2016,Renault,46786.0,362.0,25.37,120327.0,HEV,60321.0,NO
Germany,2017,Chevrolet,1456.0,2081.0,13.34,80795.0,BEV,26963.0,NO
Usa,2019,BYD,36721.0,965.0,2.16,118539.0,BEV,5703.0,YES
Germany,2024,Chevrolet,7063.0,1283.0,22.03,30078.0,PHEV,78539.0,NO
Usa,2018,Chevrolet,44085.0,2392.0,27.12,90435.0,HEV,13201.0,YES
Usa,2023,Kia,48864.0,539.0,19.32,134742.0,BEV,58056.0,YES
Usa,2021,Nissan,13265.0,3379.0,7.89,102662.0,HEV,50153.0,YES
Norway,2024,BMW,33642.0,2350.0,25.78,39290.0,HEV,36133.0,YES
India,2024,Hyundai,31023.0,4486.0,13.91,102158.0,HEV,36046.0,NO
China,2016,BMW,36484.0,2948.0,10.05,105133.0,BEV,65674.0,YES
Usa,2017,Renault,25153.790504451037,1262.0,1.26,75377.24470820969,PHEV,14760.0,YES
France,2023,Tesla,36642.0,3476.0,26.63,71039.0,HEV,77367.0,YES
China,2023,BMW,6776.0,2370.0,5.84,79411.0,HEV,36946.0,NO
Japan,2022,Ford,6616.0,2222.0,23.67,17463.0,BEV,27155.0,NO
Norway,2023,Chevrolet,14635.0,2213.0,26.06,33944.0,BEV,1619.0,YES
Japan,2020,Hyundai,18158.0,966.0,1.99,100695.0,BEV,67504.0,NO
France,2019,Nissan,48114.0,1326.0,28.16,76534.0,BEV,40030.0,YES
Netherlands,2015,Chevrolet,1558.0,4303.0,6.22,32414.0,BEV,10200.0,YES
Canada,2019,Kia,34497.0,1045.0,5.3,70554.0,BEV,2239.0,YES
India,2017,Chevrolet,15898.0,3259.0,10.94,96039.0,PHEV,13115.0,NO
Norway,2021,BMW,39562.0,4413.0,21.44,84315.0,PHEV,5470.0,NO
Canada,2023,Hyundai,40787.0,4622.0,28.94,90107.0,PHEV,48414.0,YES
China,2022,Hyundai,38506.0,2484.0,20.81,94915.0,PHEV,29625.0,NO
Netherlands,2018,Ford,16004.0,3729.0,26.07,111799.0,HEV,51138.0,YES
China,2021,Ford,43323.0,4450.0,21.0,76213.0,PHEV,48055.0,NO
China,2016,Volkswagen,47233.0,3134.0,20.34,75217.0,PHEV,9125.0,YES
China,2016,Renault,8348.0,4793.0,22.82,94498.0,HEV,67024.0,YES
Uk,2019,Nissan,40382.0,1357.0,19.86,70547.0,BEV,68203.0,YES
Norway,2022,Renault,26713.0,4124.0,24.43,101010.0,HEV,26426.0,YES
Netherlands,2021,Chevrolet,18272.0,3722.0,4.49,111008.0,HEV,52924.0,NO
Germany,2019,Tesla,4226.0,3157.0,18.69,14334.0,BEV,78714.0,NO
Uk,2021,Nissan,28644.0,3348.0,18.5,89877.0,PHEV,26537.0,YES
India,2021,Nissan,36257.0,3858.0,12.01,131234.0,BEV,7471.0,YES
Germany,2015,Chevrolet,36131.0,2511.0,27.51,101863.0,BEV,2177.0,NO
France,2020,Kia,5260.0,21.0,5.32,59811.0,PHEV,12556.0,NO
Germany,2015,BMW,28098.0,3381.0,14.82,102868.0,PHEV,27966.0,YES
India,2020,Volkswagen,25096.0,416.0,13.5,96063.0,HEV,60182.0,YES
